School Name,State,City,Ranking,Online,Total_Tuition_Cost,Program_Years_Full_Time,Min_Undergraduate_GPA,Median_Salary_10yr,Need_GRE,Institution Type,LINK
Syracuse University,NY,Syracuse,113,Offline,58956,1.5,3.0,109100,Not Needed,Private,https://requestinfo.onlinebusiness.syr.edu
San Francisco State University,CA,San Francisco,117,Offline,45840,1.5,3.0,100800,Not Needed,Public,NA
Arizona State University,AZ,Tempe,121,Online,15000,1.0,3.0,101700,Not Needed,Public,https://programs.wpcarey.asu.edu
University of Oklahoma,OK,Norman,125,Offline,32500,1.5,3.0,100900,Not Needed,Public,NA
University of Oklahoma,OK,Norman,125,Online,32500,1.5,3.0,100900,Not Needed,Public,NA
Marquette University,WI,Milwaukee,131,Offline,39765,2.0,3.0,108700,Not Needed,Private,NA
Drexel University,PA,Philadelphia,133,Offline,60975,1.5,3.0,113600,Not Needed,Private,http://catalog.drexel.edu
Drexel University,PA,Philadelphia,133,Online,60975,1.5,3.0,113600,Not Needed,Private,http://catalog.drexel.edu
Worcester Polytechnic Institute,MA,Worcester,135,Offline,48300,1.5,3.0,135500,Not Needed,Private,http://www.wpi.edu
Worcester Polytechnic Institute,MA,Worcester,135,Online,48300,1.5,3.0,135500,Not Needed,Private,http://www.wpi.edu
Universtiy of Central Florida,FL,Orlando,138,Offline,42986,1.5,3.0,90100,Needed,Public,NA
University of Missouri-Columbia,MO,Columbia,142,Offline,38597,2.0,3.0,101400,Not Needed,Public,http://dsa.missouri.edu
University of Missouri-Columbia,MO,Columbia,142,Online,39766,2.0,3.0,101400,Not Needed,Public,http://dsa.missouri.edu
Florida International Universtiy,FL,Miami,145,Offline,30828,1.5,3.0,91700,Needed,Public,NA
American University,DC,Washington,149,Offline,55980,1.5,3.0,109600,Not Needed,Private,https://onlinebusiness.american.edu
Auburn University,AL,Auburn,150,Offline,75990,1.5,2.75,105400,Needed,Public,http://harbert.auburn.edu
Auburn University,AL,Auburn,150,Online,28470,1.5,2.75,105400,Needed,Public,http://harbert.auburn.edu
Stevens Institute of Technology,NJ,Hoboken,158,Offline,48372,1.5,3.0,144300,Needed,Private,https://www.stevens.edu
Stevens Institute of Technology,NJ,Hoboken,158,Online,48372,1.5,3.0,144300,Needed,Private,https://www.stevens.edu
Texas Tech University,TX,Lubbock,163,Offline,24348,1.0,3.0,106300,Not Needed,Public,https://www.depts.ttu.edu
Texas Tech University,TX,Lubbock,163,Online,24348,1.0,3.0,106300,Not Needed,Public,https://www.depts.ttu.edu
University of Vermont,VT,Burlington,164,Offline,51600,1.5,3.0,101900,Not Needed,Public,NA
University of Denver,CO,Denver,165,Offline,47916,1.5,2.5,107300,Not Needed,Private,http://daniels.du.edu
University of Denver,CO,Denver,165,Online,47916,1.5,2.5,107300,Not Needed,Private,http://daniels.du.edu
University of the Pacific,CA,Stockton,166,Offline,49120,2.0,2.65,112100,Not Needed,Private,http://www.pacific.edu
Michigan Technological University,MI,Houghton,167,Offline,40290,1.5,2.85,114700,Not Needed,Public,NA
Fordham University,NY,New York City,168,Offline,41400,1.5,3.0,118200,Not Needed,Private,http://www.bnet.fordham.edu
University of San Francisco,CA,San Francisco,169,Offline,54425,1.5,3.0,114400,Needed,Private,http://www.usfca.edu
Rochester Institute of Technology,NY,Rochester,178,Offline,52092,1.0,3.0,105200,Not Needed,Private,https://www.rit.edu
Rochester Institute of Technology,NY,Rochester,178,Online,37110,1.0,3.0,105200,Not Needed,Private,https://www.rit.edu
University at Albany-SUNY,NY,Albany,187,Offline,21194,1.5,3.0,106000,Not Needed,Public,NA
University of Kansas,KS,Lawrence,188,Online,21000,1.5,3.0,100800,Not Needed,Public,http://www.business.ku.edu
New Jersey Institute of Technology,NJ,Newark,189,Offline,50010,2.0,3.0,124400,Needed,Public,http://adultlearner.njit.edu
Florida Atlantic University,FL,Boca Raton,192,Offline,27825,1.5,3.0,92100,Needed,Public,NA
Colorado State University,CO,Fort Collins,199,Offline,29515,1.0,3.0,97800,Needed,Public,NA
Colorado State University,CO,Fort Collins,199,Online,24330,1.0,3.0,97800,Needed,Public,NA
Temple University,PA,Philadelphia,200,Offline,47010,1.5,3.0,95800,Needed,Public,NA
Oklahoma State University,OK,Stillwater,204,Offline,41370,2.0,3.0,99700,Needed,Public,NA
Oklahoma State University,OK,Stillwater,204,Online,20175,2.0,3.0,99700,Needed,Public,NA
California State University-East Bay,CA,Hayward,207,Offline,23436,1.5,2.5,104400,Not Needed,Public,http://www20.csueastbay.edu
University of Kentucky,KY,Lexington,209,Offline,49842,1.5,3.0,95900,Not Needed,Public,NA
Loyola University of Maryland,MD,Baltimore,210,Online,27745,2.0,3.0,121600,Not Needed,Private,NA
University of St. Thomas,MN,Minneapolis,213,Offline,34890,2.0,3.0,113300,Not Needed,Private,http://www.stthomas.edu
Seton Hall University,NJ,South Orange,215,Online,42030,1.5,3.0,104800,Not Needed,Private,NA
Ramapo College of New Jersey,NJ,Mahwah,223,Offline,35610,2.0,3.0,97800,Not Needed,Public,NA
Seattle University,WA,Seattle,225,Offline,41085,2.0,3.0,115700,Not Needed,Private,http://www.seattleu.edu
DePaul University,IL,Chicago,227,Online,39690,1.5,3.0,108300,Not Needed,Private,http://www.depaul.edu
University of North Texas,TX,Denton,234,Offline,16488,2.0,3.2,92600,Not Needed,Public,http://www.cob.unt.edu
Colorado School of Mines,CO,Golden,235,Offline,68070,1.5,3.0,142800,Not Needed,Public,NA
University of Nevada-Reno,NV,Reno,236,Offline,32182,2.0,3.0,96300,Not Needed,Public,NA
New College of Florida,FL,Sarasota,237,Offline,44206,2.0,3.0,92500,Not Needed,Public,https://www.ncf.edu
Georgia State University,GA,Atlanta,241,Offline,45000,1.0,3.0,90900,Not Needed,Public,http://specialized.robinson.gsu.edu
Pace University,NY,New York City,243,Offline,41250,1.0,3.0,111800,Not Needed,Private,NA
Pace University,NY,New York City,243,Online,31500,1.0,3.0,111800,Not Needed,Private,NA
Chapman University,CA,Orange,246,Offline,54095,2.0,3.0,102100,Needed,Private,http://www.chapman.edu
Adelphi University,NY,Garden City,249,Offline,42600,1.5,3.0,94800,Not Needed,Private,NA
